Nineteen Eighty-Four
Harry Potter and the Sorcerer's Stone
To Kill a Mockingbird
Fahrenheit 451
The Hunger Games
Animal Farm: A Fairy Story
The Alchemist
Where the Crawdads Sing
Harry Potter and the Chamber of Secrets
It Ends with Us
The Four Agreements: A Practical Guide to Personal Freedom, A Toltec Wisdom Book
Catching Fire
Harry Potter and the Prisoner of Azkaban
The Handmaid's Tale
The Hobbit
The Great Gatsby
How to Win Friends and Influence People
Verity
Mockingjay
Harry Potter and the Goblet of Fire
Harry Potter and the Deathly Hallows
Charlotte's Web
The Giver
Pride and Prejudice
The Seven Husbands of Evelyn Hugo
Harry Potter and the Half-Blood Prince
All the Light We Cannot See
Green Eggs and Ham
The Lion, the Witch and the Wardrobe
Man's Search for Meaning
Twilight
The Book Thief
Educated
Oh, the Thinks You Can Think!
Lord of the Flies
Anne Frank: The Diary of a Young Girl
The Silent Patient
The Nightingale
The Power of Now: A Guide to Spiritual Enlightenment
Before We Were Yours
Brave New World
It Starts with Us
Mere Christianity
Hillbilly Elegy: A Memoir of a Family and Culture in Crisis
Wuthering Heights
One Fish, Two Fish, Red Fish, Blue Fish
Rich Dad, Poor Dad
How the Grinch Stole Christmas!
The Lightning Thief
Harry Potter and the Order of the Phoenix
